numero de mensaje;eje x;eje y;eje z
0;0,05;0,01;0,98
1;0,05;0,01;0,98
2;0,05;0,00;0,98
3;0,05;0,01;0,98
4;0,05;0,01;0,98
5;0,05;0,00;0,98
6;0,05;0,01;0,98
7;0,05;0,07;0,88
8;0,03;0,05;0,94
9;0,05;0,00;0,98
10;-0,03;0,10;0,67
11;0,05;0,01;0,98
12;0,19;0,06;0,76
13;0,05;0,01;0,98
14;-0,02;-0,05;1,27
15;0,05;0,01;0,98
16;-0,00;0,11;0,92
17;0,05;0,01;0,98
18;0,04;0,01;0,98
19;0,04;0,01;0,98
20;0,04;0,01;0,98
21;0,04;0,01;0,98
22;0,04;0,01;0,98
23;0,04;0,01;0,98
24;0,04;0,01;0,98
25;0,05;0,01;0,98
26;-0,05;0,24;0,66
27;0,04;0,02;0,98
28;0,03;0,02;0,98
29;0,00;0,08;1,51
30;0,04;0,01;0,99
31;0,09;0,02;1,18
32;0,03;0,02;0,98
33;0,03;0,02;0,98
34;0,15;0,04;0,14
35;0,02;0,03;0,99
36;0,02;0,03;0,98
37;0,07;0,06;0,99
38;0,02;0,03;0,98
39;0,02;0,03;0,98
40;-0,01;0,04;1,01
41;0,02;0,03;0,98
42;0,02;0,03;0,98
43;-0,05;0,11;1,31
44;0,02;0,03;0,99
45;0,01;0,03;0,98
46;-0,04;0,15;0,03
47;0,00;0,04;0,98
48;0,01;0,03;0,98
49;-0,00;0,11;-0,01
50;0,02;0,03;0,99
51;0,01;0,04;0,98
52;-0,09;0,10;1,17
53;0,00;0,03;0,97
54;0,00;0,04;0,98
55;-0,01;0,02;1,04
56;0,00;0,04;0,98
57;0,00;0,04;0,98
58;0,52;-0,10;2,10
59;0,00;0,04;0,98
60;-0,00;0,04;0,98
61;0,08;0,19;-0,09
62;-0,00;0,05;1,00
63;-0,00;0,04;0,98
64;-0,00;0,04;0,98
65;0,00;0,04;0,98
66;-0,00;0,04;0,98
67;-0,00;0,04;0,98
68;-0,00;0,04;0,98
0;-0,01;0,04;0,98
1;-0,01;0,04;0,98
2;-0,01;0,04;0,98
3;-0,01;0,04;0,98
4;-0,01;0,04;0,98
5;-0,01;0,04;0,98
6;-0,01;0,04;0,98
7;-0,01;0,04;0,98
8;-0,01;0,04;0,98
9;-0,01;0,04;0,98
10;-0,01;0,04;0,98
11;-0,01;0,04;0,98
12;-0,01;0,04;0,98
13;-0,01;0,04;0,98
14;-0,01;0,04;0,98
15;-0,01;0,04;0,98
16;-0,01;0,04;0,98
17;-0,01;0,04;0,98
18;-0,01;0,04;0,98
19;-0,01;0,04;0,98
20;-0,01;0,04;0,98
21;-0,01;0,04;0,98
22;-0,01;0,04;0,98
23;-0,01;0,04;0,98
24;-0,01;0,04;0,98
25;-0,01;0,04;0,98
26;-0,01;0,04;0,98
27;-0,01;0,04;0,98
28;-0,01;0,04;0,98
29;-0,01;0,04;0,98
30;-0,01;0,04;0,98
31;-0,01;0,04;0,98
32;-0,01;0,04;0,98
33;-0,01;0,04;0,98
34;-0,01;0,04;0,98
35;-0,01;0,04;0,98
36;-0,01;0,04;0,98
37;-0,01;0,04;0,98
38;-0,01;0,04;0,98
39;-0,01;0,04;0,98
40;-0,01;0,04;0,98
41;-0,01;0,04;0,98
42;-0,01;0,04;0,98
43;-0,01;0,04;0,98
44;-0,01;0,04;0,98
45;-0,01;0,04;0,98
46;-0,01;0,04;0,98
47;-0,01;0,04;0,98
48;-0,01;0,04;0,98
49;-0,01;0,04;0,98
50;-0,01;0,04;0,98
51;-0,01;0,04;0,98
52;-0,01;0,04;0,98
53;-0,01;0,04;0,98
54;-0,01;0,04;0,98
55;-0,01;0,04;0,98
56;-0,01;0,04;0,98
57;-0,01;0,04;0,98
58;-0,01;0,04;0,98
59;-0,01;0,04;0,98
60;-0,01;0,04;0,98
61;-0,01;0,04;0,98
62;-0,01;0,04;0,98
63;-0,01;0,04;0,98
64;-0,01;0,04;0,98
65;-0,01;0,04;0,98
66;-0,01;0,04;0,98
67;-0,01;0,04;0,98
68;-0,01;0,04;0,98
69;-0,01;0,04;0,98
70;-0,01;0,04;0,98
71;-0,01;0,04;0,98
72;-0,01;0,04;0,98
73;-0,01;0,04;0,98
74;-0,01;0,04;0,98
75;-0,01;0,04;0,98
76;-0,01;0,04;0,98
77;-0,01;0,04;0,98
78;-0,01;0,04;0,98
79;-0,01;0,04;0,98
80;-0,01;0,04;0,98
81;-0,01;0,04;0,98
82;-0,01;0,04;0,98
83;-0,01;0,04;0,98
84;-0,01;0,04;0,98
85;-0,01;0,04;0,98
86;-0,01;0,04;0,98
87;-0,01;0,04;0,98
88;-0,01;0,04;0,98
89;-0,01;0,04;0,98
90;-0,01;0,04;0,98
91;-0,01;0,04;0,98
92;-0,01;0,04;0,98
93;-0,01;0,04;0,98
94;-0,01;0,04;0,98
95;-0,01;0,04;0,98
96;-0,01;0,04;0,98
